ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
sp98ar,1,3398.00,3312.56,2728.67,5473.81,5380.47,2757.70,34934,34934,31484,57208,57208,31484,0.97,8.69,1402,1402,1402,1402,1402,1402,15085,15085,15076,15076,15076,15076,419196,419196,419141,419141,419141,419141
sp98ar,2,6867.47,6681.78,3491.04,3470.63,3443.41,3390.73,72819,72819,37248,34915,34915,37248,1.13,25.01,1402,1402,1402,1402,1402,1402,15085,15085,15076,15076,15076,15076,419196,419196,419141,419141,419141,419141
sp98ar,3,5846.70,5897.71,5258.35,4746.84,4736.77,5332.26,62613,62613,55626,43268,43268,55626,2.60,51.22,1402,1402,1402,1402,1402,1402,15085,15085,15076,15076,15076,15076,419196,419196,419141,419141,419141,419141
sp98ar,4,4898.13,5117.33,3881.87,4495.49,4112.68,3262.18,47643,47643,37311,43320,43320,37311,0.75,8.71,1402,1402,1402,1402,1402,1402,15085,15085,15076,15076,15076,15076,419196,419196,419141,419141,419141,419141
sp98ar,5,5216.74,5050.88,4214.63,3927.71,3949.97,4156.97,55566,55566,40168,38158,38158,40168,2.07,26.31,1402,1402,1402,1402,1402,1402,15085,15085,15076,15076,15076,15076,419196,419196,419141,419141,419141,419141
splice1k1,1,7200.05,7200.10,1691.45,7200.28,7200.13,1700.47,1490,2063,1,1847,1520,1,0.54,137.01,6504,6504,6504,6504,6504,6504,3252,3252,3252,3252,3252,3252,1758012,1758012,1758012,1758012,1758012,1758012
splice1k1,2,7201.39,7200.03,1177.86,7200.20,7200.11,1152.54,2787,3233,1,2640,2686,1,0.73,136.87,6504,6504,6504,6504,6504,6504,3252,3252,3252,3252,3252,3252,1758012,1758012,1758012,1758012,1758012,1758012
splice1k1,3,7200.12,7200.19,1272.30,7200.63,7200.08,1284.91,1551,2217,1,1551,2145,1,0.52,137.90,6504,6504,6504,6504,6504,6504,3252,3252,3252,3252,3252,3252,1758012,1758012,1758012,1758012,1758012,1758012
splice1k1,4,7200.62,7200.08,1156.46,7200.17,7200.17,1104.71,5421,6458,0,5313,5313,0,0.51,126.97,6504,6504,6504,6504,6504,6504,3252,3252,3252,3252,3252,3252,1758012,1758012,1758012,1758012,1758012,1758012
splice1k1,5,7200.04,7200.09,1635.50,7200.27,7205.21,1562.84,1684,1843,1,330,1684,1,0.72,138.25,6504,6504,6504,6504,6504,6504,3252,3252,3252,3252,3252,3252,1758012,1758012,1758012,1758012,1758012,1758012
